"Route","Total_Ins","Total_Outs","NbrStops","Mean_Ins","Mean_Outs","Mean_Load","NbrTrips","Lat","Lon","Mean_DwellTime"
"58",74166,74166,59510,1.24627793648126,1.24627793648126,8.65079796324374,3355,40.030094,-75.074302,00:00:12
"59",5199,5199,3702,1.40437601296596,1.40437601296596,7.75790935237529,310,40.023696,-75.076896,00:00:25
"61",74356,74356,58887,1.26268955796695,1.26268955796695,7.46995934915517,3081,40.015144,-75.164581,00:00:13
"62",3058,3058,2914,1.04941660947152,1.04941660947152,8.03855195110484,141,40.067138,-75.230957,00:00:10
"64",46116,46116,35166,1.31138031052721,1.31138031052721,9.72766360734238,1357,39.925312,-75.14167,00:00:18
"65",183454,183454,106385,1.72443483573812,1.72443483573812,12.9660703793171,5099,39.962818,-75.258613,00:00:18
"66",118271,118271,74422,1.58919405552122,1.58919405552122,10.9225194639855,4611,40.064399,-74.981369,00:00:31
"67",89369,89369,69079,1.29372168097396,1.29372168097396,8.48592630416691,4702,40.030094,-75.074302,00:00:07
"68",13686,13686,7457,1.83532251575701,1.83532251575701,8.26464189109726,922,39.916683,-75.181129,00:00:20
"7",45880,45880,41712,1.09992328346759,1.09992328346759,8.2074869269684,1441,39.916683,-75.181129,00:00:14
"70",114389,114389,73055,1.56579289576347,1.56579289576347,9.87480322318624,4416,40.030094,-75.074302,00:00:16
"73",62588,62588,39867,1.56991998394662,1.56991998394662,6.57608795106948,4132,39.984252,-75.099456,00:00:11
"75",44540,44540,32946,1.35190918472652,1.35190918472652,7.17741557581623,2290,40.023696,-75.076896,00:00:20
"77",17807,17807,16623,1.07122661372797,1.07122661372797,6.25247496175715,904,40.077716,-75.208297,00:00:13
"78",3,3,5,0.6,0.6,0.833333333333333,2,40.069309,-74.958564,00:00:13
"79",300242,300242,192757,1.55761917855123,1.55761917855123,8.08790040878809,11794,39.927486,-75.194389,00:00:24
"8",60657,60657,20717,2.92788531157986,2.92788531157986,15.5963334190011,3081,40.023696,-75.076896,00:00:35
"80",1711,1711,1204,1.42109634551495,1.42109634551495,7.20938628158845,179,40.015144,-75.164581,00:00:21
