GEOID,NAME,education_BA,education_MS,education_tot,eductation_HS,med_age,med_income,total_pop,education_HS_p,education_BA_p,education_MS_p,income_bucket
42101016901,"Census Tract 169.01, Philadelphia County, Pennsylvania",160,10,2001,283,35.1,21042,2823,0.1,0.06,0,low_income
42101016902,"Census Tract 169.02, Philadelphia County, Pennsylvania",66,0,2823,481,31.1,19749,4823,0.1,0.01,0,very_low_income
42101017000,"Census Tract 170, Philadelphia County, Pennsylvania",95,104,2298,275,34.2,42661,3030,0.09,0.03,0.03,mid_income
42101017100,"Census Tract 171, Philadelphia County, Pennsylvania",27,22,2739,501,44.1,32027,4008,0.12,0.01,0.01,low_income
42101017201,"Census Tract 172.01, Philadelphia County, Pennsylvania",77,24,2058,517,36.2,29853,2590,0.2,0.03,0.01,low_income
42101017202,"Census Tract 172.02, Philadelphia County, Pennsylvania",100,0,2607,677,44.6,21371,3596,0.19,0.03,0,low_income
42101017300,"Census Tract 173, Philadelphia County, Pennsylvania",158,29,1726,346,33.3,18125,2645,0.13,0.06,0.01,very_low_income
42101017400,"Census Tract 174, Philadelphia County, Pennsylvania",23,0,1612,516,32.7,25052,2520,0.2,0.01,0,low_income
42101017500,"Census Tract 175, Philadelphia County, Pennsylvania",18,0,4380,860,33.5,18356,7084,0.12,0,0,very_low_income
42101017601,"Census Tract 176.01, Philadelphia County, Pennsylvania",23,10,3138,558,37.8,17392,4971,0.11,0,0,very_low_income
42101017602,"Census Tract 176.02, Philadelphia County, Pennsylvania",41,7,2315,180,27.5,19717,4398,0.04,0.01,0,very_low_income
42101017701,"Census Tract 177.01, Philadelphia County, Pennsylvania",0,0,2025,365,30.1,20058,3438,0.11,0,0,low_income
42101017702,"Census Tract 177.02, Philadelphia County, Pennsylvania",55,20,2822,336,30.5,18125,4980,0.07,0.01,0,very_low_income
42101017800,"Census Tract 178, Philadelphia County, Pennsylvania",110,0,2984,563,31.6,20438,5540,0.1,0.02,0,low_income
42101017900,"Census Tract 179, Philadelphia County, Pennsylvania",126,45,3765,769,27.8,34514,6834,0.11,0.02,0.01,low_income
42101018001,"Census Tract 180.01, Philadelphia County, Pennsylvania",171,39,2049,480,40.2,61027,2627,0.18,0.07,0.01,high_income
42101018002,"Census Tract 180.02, Philadelphia County, Pennsylvania",249,85,4131,707,36.3,37146,6017,0.12,0.04,0.01,mid_income
42101018300,"Census Tract 183, Philadelphia County, Pennsylvania",114,18,3079,1005,40.3,69526,4175,0.24,0.03,0,high_income
42101018400,"Census Tract 184, Philadelphia County, Pennsylvania",72,15,1645,418,33.9,54000,2359,0.18,0.03,0.01,mid_income
42101018800,"Census Tract 188, Philadelphia County, Pennsylvania",92,0,4883,879,27.3,25919,8580,0.1,0.01,0,low_income
42101019000,"Census Tract 190, Philadelphia County, Pennsylvania",115,0,4157,1068,26.6,35213,7772,0.14,0.01,0,mid_income
42101019100,"Census Tract 191, Philadelphia County, Pennsylvania",125,14,5276,1344,35.3,38750,8280,0.16,0.02,0,mid_income
42101019200,"Census Tract 192, Philadelphia County, Pennsylvania",28,40,4190,794,23.7,27500,8729,0.09,0,0,low_income
42101019501,"Census Tract 195.01, Philadelphia County, Pennsylvania",29,0,2648,615,32.7,15892,4438,0.14,0.01,0,very_low_income
42101019502,"Census Tract 195.02, Philadelphia County, Pennsylvania",9,0,2059,275,26.3,23114,3940,0.07,0,0,low_income
42101019700,"Census Tract 197, Philadelphia County, Pennsylvania",54,0,4013,342,27.7,19111,7034,0.05,0.01,0,very_low_income
42101019800,"Census Tract 198, Philadelphia County, Pennsylvania",39,0,3454,517,26.4,25434,6561,0.08,0.01,0,low_income
42101019900,"Census Tract 199, Philadelphia County, Pennsylvania",0,16,2367,456,27.2,18005,4423,0.1,0,0,very_low_income
42101020000,"Census Tract 200, Philadelphia County, Pennsylvania",34,0,838,131,31.7,22568,1396,0.09,0.02,0,low_income
42101020101,"Census Tract 201.01, Philadelphia County, Pennsylvania",118,0,2366,348,33.1,15891,3829,0.09,0.03,0,very_low_income
42101020102,"Census Tract 201.02, Philadelphia County, Pennsylvania",148,0,1972,253,36,39971,2931,0.09,0.05,0,mid_income
42101020200,"Census Tract 202, Philadelphia County, Pennsylvania",62,0,3029,790,40.7,18439,4523,0.17,0.01,0,very_low_income
42101020300,"Census Tract 203, Philadelphia County, Pennsylvania",37,3,1793,421,34.5,24612,2961,0.14,0.01,0,low_income
42101020400,"Census Tract 204, Philadelphia County, Pennsylvania",25,0,1944,467,40.4,25875,2938,0.16,0.01,0,low_income
42101020500,"Census Tract 205, Philadelphia County, Pennsylvania",0,7,2145,603,45.4,17929,2793,0.22,0,0,very_low_income
42101020600,"Census Tract 206, Philadelphia County, Pennsylvania",84,109,1101,131,36.3,47292,1588,0.08,0.05,0.07,mid_income
42101020700,"Census Tract 207, Philadelphia County, Pennsylvania",689,232,4055,166,32.7,81653,5677,0.03,0.12,0.04,high_income
42101020800,"Census Tract 208, Philadelphia County, Pennsylvania",304,188,1614,86,28.9,53409,2250,0.04,0.14,0.08,mid_income
42101020900,"Census Tract 209, Philadelphia County, Pennsylvania",451,115,2062,198,32.3,67177,2755,0.07,0.16,0.04,high_income
42101021000,"Census Tract 210, Philadelphia County, Pennsylvania",894,229,4133,468,31.3,71667,5394,0.09,0.17,0.04,high_income
42101021100,"Census Tract 211, Philadelphia County, Pennsylvania",302,121,1942,144,35.3,64479,2526,0.06,0.12,0.05,high_income
42101021200,"Census Tract 212, Philadelphia County, Pennsylvania",192,46,1774,239,33,66058,2512,0.1,0.08,0.02,high_income
42101021300,"Census Tract 213, Philadelphia County, Pennsylvania",430,240,2887,378,31.1,67017,3928,0.1,0.11,0.06,high_income
42101021400,"Census Tract 214, Philadelphia County, Pennsylvania",637,120,2987,365,28.1,74677,4090,0.09,0.16,0.03,high_income
42101021500,"Census Tract 215, Philadelphia County, Pennsylvania",528,221,2858,361,30.5,74087,4020,0.09,0.13,0.05,high_income
42101021600,"Census Tract 216, Philadelphia County, Pennsylvania",314,125,1860,218,38.4,80688,2264,0.1,0.14,0.06,high_income
42101021700,"Census Tract 217, Philadelphia County, Pennsylvania",506,191,4925,672,44.1,82841,6084,0.11,0.08,0.03,high_income
42101021800,"Census Tract 218, Philadelphia County, Pennsylvania",582,129,3573,383,30.9,57135,5239,0.07,0.11,0.02,high_income
42101021900,"Census Tract 219, Philadelphia County, Pennsylvania",171,51,1207,122,45.6,71705,1455,0.08,0.12,0.04,high_income
42101022000,"Census Tract 220, Philadelphia County, Pennsylvania",137,98,1258,119,58.3,107396,1606,0.07,0.09,0.06,very_high_income
42101023100,"Census Tract 231, Philadelphia County, Pennsylvania",177,73,953,18,45.3,136058,1343,0.01,0.13,0.05,very_high_income
42101023500,"Census Tract 235, Philadelphia County, Pennsylvania",120,66,1029,37,48.1,93646,1339,0.03,0.09,0.05,high_income
42101023600,"Census Tract 236, Philadelphia County, Pennsylvania",194,90,1891,121,52.2,88807,2395,0.05,0.08,0.04,high_income
42101023700,"Census Tract 237, Philadelphia County, Pennsylvania",473,214,3991,383,42.4,62117,5199,0.07,0.09,0.04,high_income
42101023800,"Census Tract 238, Philadelphia County, Pennsylvania",367,158,3511,585,38,68370,4347,0.13,0.08,0.04,high_income
42101023900,"Census Tract 239, Philadelphia County, Pennsylvania",164,80,1254,82,45.2,25598,1444,0.06,0.11,0.06,low_income
42101024000,"Census Tract 240, Philadelphia County, Pennsylvania",237,176,2727,362,44.3,43146,3531,0.1,0.07,0.05,mid_income
42101024100,"Census Tract 241, Philadelphia County, Pennsylvania",65,10,1216,228,56.6,14620,1434,0.16,0.05,0.01,very_low_income
42101024200,"Census Tract 242, Philadelphia County, Pennsylvania",174,92,2440,478,43.6,28961,3429,0.14,0.05,0.03,low_income
42101024300,"Census Tract 243, Philadelphia County, Pennsylvania",180,62,2317,331,30.3,36118,3752,0.09,0.05,0.02,mid_income
42101024400,"Census Tract 244, Philadelphia County, Pennsylvania",96,42,2141,266,32.5,30284,3331,0.08,0.03,0.01,low_income
42101024500,"Census Tract 245, Philadelphia County, Pennsylvania",113,23,2136,246,32,17252,3684,0.07,0.03,0.01,very_low_income
42101024600,"Census Tract 246, Philadelphia County, Pennsylvania",121,0,1741,295,29.1,17267,2938,0.1,0.04,0,very_low_income
42101024700,"Census Tract 247, Philadelphia County, Pennsylvania",129,34,2774,438,37.2,25721,4273,0.1,0.03,0.01,low_income
42101024800,"Census Tract 248, Philadelphia County, Pennsylvania",26,0,1367,277,30.1,46250,2295,0.12,0.01,0,mid_income
42101024900,"Census Tract 249, Philadelphia County, Pennsylvania",37,25,1806,239,43.7,24741,2674,0.09,0.01,0.01,low_income
42101025200,"Census Tract 252, Philadelphia County, Pennsylvania",135,102,4667,734,33,37753,7137,0.1,0.02,0.01,mid_income
42101025300,"Census Tract 253, Philadelphia County, Pennsylvania",42,93,2829,535,36,40719,4277,0.13,0.01,0.02,mid_income
42101025400,"Census Tract 254, Philadelphia County, Pennsylvania",392,176,3535,432,43.6,56289,4803,0.09,0.08,0.04,high_income
42101025500,"Census Tract 255, Philadelphia County, Pennsylvania",185,132,2131,310,42.9,63721,2822,0.11,0.07,0.05,high_income
