stop_id,daily_ons,daily_offs
2,726.6476853041802,713.9220855125267
4,645.1811965811966,147
5,340,226
7,11,31
8,902.0589485925567,474.26364539544704
9,134.68284334632634,82.15970319896398
10,131.76075602935853,28.22809342262316
11,1,11
12,22,18
14,16.659992000752872,0.15458937198067632
16,2.0936507936507938,0.19523809523809524
17,1,2
18,62.274347253073174,13.758434687445455
19,42.41288047918714,6.415116860654125
21,137.57917458215215,99.40714090377972
22,466.710722913718,907.6334910561673
23,288,95
24,541,491
25,276,320
28,1298.0144715791455,1341.124206530185
30,193.25018315018315,77.23571428571428
31,69.14703907203908,38.147206959706956
32,24.748137973137972,60.67254273504273
33,229.97143273393274,59.32001470751471
34,83.22113580863581,106.01104034854035
35,7.933821733821734,17.56597152847153
36,21.232967032967032,44.785257797757794
37,14.274608724608724,100.33827006327006
38,95.36195023768339,133.04300968710345
39,2.6998573712837666,10.951456195235705
40,330.5317830838519,238.5127683321511
41,132.27276057276057,14.800624375624375
42,35.467707292707296,29.158699633699634
43,11.05486457986458,6.829043179043179
45,60.69319569319569,36.288192363192366
46,13.332056832056832,28.308436008436008
47,46.95393217893218,52.90494227994228
48,20,12
51,298.1787878787879,233.2959468635939
52,185.63611111111112,40.67619047619048
53,690,387
54,4,77
55,63,46
57,89,2
58,489,817
64,67,26
65,0,3
67,8.40079365079365,47.20793650793651
69,395.76818030811705,170.70207288767932
70,95.95210647195941,89.77632694103282
72,2,1
73,1,71
77,80.74580870672622,24.9944255392919
78,40.81448956012618,21.132700633963108
79,115.01460103954045,64.04811324120128
80,20.883833907407077,17.706717827836236
84,11.895750483724544,33.93469198198649
85,56.48861909100508,112.52530863570594
86,17.640864781308835,44.60121964203854
89,170.27426658643373,104.04133620443685
92,238.12937780905543,244.59025479666388
93,104.35,24.15
94,26.4,18.916666666666668
95,19.804761904761904,16.986507936507937
96,175.43174603174603,265.715873015873
98,876.8188034188034,707.6987179487179
99,0,465.5190293366764
101,1129.5555855694013,1063.1606106612685
103,880.0404761904762,800.2190476190476
105,450.63968253968255,161.52301587301588
106,24.15,29.216666666666665
107,131.66218418544335,73.2822118759253
108,20.85,77.56666666666666
111,0,1602
113,123,60
114,75,76
117,74,53
118,81,108
119,20,50
121,3.9833333333333334,1.7186147186147185
122,50.48421351628883,14.943457505126304
123,167.42691529316917,119.36474511470641
124,262,178
130,745.5123826337061,433.8524716296775
131,142.0902537005478,117.98979223390988
132,61,48
133,47.10324936501407,62.39028145057557
136,1880.7512681536866,1707.3283912176025
137,37,30
141,34.58740981240981,28.066161616161615
143,170.9878781306413,242.48550513813672
145,0,1.7658730158730158
148,57.797258297258296,61.835064935064935
150,0.7261904761904762,19.537373737373738
158,13.588095238095239,4.0773809523809526
160,7.416666666666667,7.333333333333333
164,323.7443304502515,157.160504626952
165,302.410702017281,307.3111713578819
167,33.67049062049062,45.768217893217894
174,1,31
175,29.483333333333334,45.97222222222222
180,103.10555555555555,65.33492063492064
182,989.4325396825396,1242.9055555555556
185,11.13452380952381,96.28635531135531
187,4.833333333333333,18.866666666666667
188,208.16666666666666,219.4
194,105.18571428571428,29.58888888888889
197,1171.7583333333334,1120.9055555555556
198,73.41388888888889,106.9
199,97.31688034188033,166.11089743589744
201,75.8436507936508,58.0218253968254
204,89,110
207,49,31
208,130,207
209,3,44
210,42,36
212,5,1
213,203.0224699964638,82.38244800005636
214,3,8
215,43,35
216,33,42
218,16,103
220,3255.693563347296,2455.6054852990146
222,62,119
223,210.39881079455523,263.82567852711543
224,95,193
225,189,115
226,200.58402153402153,106.17679403929404
227,223.50993867243866,347.65073676323675
228,107,123
229,78,50
232,116.97503370812194,99.05940644322997
235,84.00919635919635,122.02479889391654
237,131.71666429975252,135.01935131861603
241,58.648323898323895,140.7977675102675
242,4.187985625485625,30.256931956931957
243,1,1
244,1.4027639027639027,16.61199356199356
246,618.8247467535151,932.2976032174678
248,14.120393495393495,3.05991230991231
250,400.05789028652805,92.30168778589831
252,64.44712591330239,53.957451535392714
254,288.44678902034536,141.11094072392362
255,111.06013822778529,101.50556143203202
256,24.25,19.083333333333332
260,97,215
261,123.71019624223959,301.3792017322203
267,237,4
268,162.17218045112782,23.837687020581757
275,24.054273702863966,170.84936360067698
293,324,161
299,35.3551282051282,10.71923076923077
300,594,120.88333333333334
303,0,2
309,26.63095238095238,26.057142857142857
310,74.36904761904762,148.92619047619047
311,5.685714285714286,70.94285714285714
315,10.216666666666667,13.55
317,558.5071428571429,225.41666666666666
326,13.490255150263861,42.40169049151566
327,6.495103912353981,59.49319629970037
329,17.370843356920695,57.146280978386756
330,760.6624515611296,732.8684775964801
331,0.3546669713987201,4.648486358086061
332,382.510628700867,356.4504810316549
336,22.430519632534462,9.612642996407203
338,28.266546028161354,17.651219521199536
340,2102,188
341,172.83858383729833,286.58933725936237
342,16,131
347,94,13
351,48,12
356,3.4,140.5
357,91.60893359346015,74.03927493453992
358,34.12564442702896,206.10346172111227
359,228.58412217151806,23.200711350643992
362,55.474570108455666,239.60611054015925
364,21,11
367,5.789277389277389,3.7888389388389387
368,57.947031781560796,6.287652895469665
369,188.81694664973747,19.65095918090435
370,22.868928879257673,8.852652656830253
371,225.31781783220373,199.45292718178092
372,511.4838745084957,1635.6126575561561
373,2577.8056874843714,1784.7225496106698
375,13.600397313414444,67.79542176621824
378,63.83592509517084,13.285040696210531
379,122.89141657348854,145.77312322927145
381,84.57493087771988,106.81905490696292
382,7937.653756596163,6190.680963671081
383,12.47622155477572,15.99375007984931
384,24.272865086205975,172.01815041168203
