"Stop","Total_Ins","Total_Outs","NbrStops","Mean_Ins","Mean_Outs","Mean_Load","NbrTrips","Lat","Lon","Mean_DwellTime"
"1081",1358,517,1094,1.24131627056673,0.472577696526508,16.3399617590822,2615,40.031871,-75.052917,00:00:05
"10848",585,39,325,1.8,0.12,3.81475667189953,1274,39.916252,-75.174766,00:00:05
"10849",252,17,169,1.49112426035503,0.100591715976331,4.16049382716049,1620,39.915298,-75.176055,00:00:01
"1085",222,135,302,0.735099337748344,0.447019867549669,3.19808306709265,3756,40.148803,-75.129791,00:00:01
"10851",428,43,155,2.76129032258065,0.27741935483871,4.01108374384236,1624,39.914741,-75.177413,00:00:02
"1086",31,12,36,0.861111111111111,0.333333333333333,4.88306451612903,248,40.125915,-75.164428,00:00:01
"1089",200,368,255,0.784313725490196,1.44313725490196,15.7519083969466,524,40.013729,-75.056007,00:00:06
"1090",1769,811,562,3.14768683274021,1.44306049822064,10.51345532831,929,40.030174,-75.034942,00:00:14
"1091",73,422,248,0.294354838709677,1.70161290322581,14.1551362683438,477,40.031784,-75.022377,00:00:06
"1092",38,140,118,0.322033898305085,1.1864406779661,12.1771929824561,570,40.04589,-74.994537,00:00:02
"1093",314,111,237,1.32489451476793,0.468354430379747,8.0011350737798,881,40.054397,-74.98381,00:00:04
"1094",367,273,315,1.16507936507937,0.866666666666667,11.163025210084,595,40.063667,-74.985664,00:00:07
"10940",254,1237,955,0.265968586387435,1.29528795811518,13.00354071826,3954,40.042705,-75.142883,00:00:02
"1095",16,402,234,0.0683760683760684,1.71794871794872,4.2984693877551,1176,40.091415,-74.965728,00:00:03
"1096",103,271,150,0.686666666666667,1.80666666666667,4.46127946127946,297,40.114696,-74.988395,00:00:06
"1097",679,448,510,1.33137254901961,0.87843137254902,0.463768115942029,1587,40.134853,-75.009788,00:04:10
"1099",120,147,140,0.857142857142857,1.05,4.6865671641791,335,40.114719,-74.988639,00:00:05
"11",106,281,211,0.502369668246445,1.33175355450237,11.063025210084,952,40.104026,-75.000877,00:00:03
"1100",351,64,243,1.44444444444444,0.263374485596708,5.30841924398625,1164,40.091464,-74.966079,00:00:03
"1101",189,696,341,0.55425219941349,2.04105571847507,9.1530303030303,660,40.063426,-74.985679,00:00:07
"1102",859,846,591,1.45346869712352,1.43147208121827,4.85100074128984,1349,40.054325,-74.983924,00:04:04
"1104",62,722,273,0.227106227106227,2.64468864468864,8.62999026290166,1027,40.030265,-75.035064,00:00:10
"1105",413,186,272,1.51838235294118,0.683823529411765,12.4048,625,40.013923,-75.055938,00:00:06
"1106",1855,811,1323,1.4021164021164,0.613000755857899,16.687619047619,2625,40.030689,-75.05484,00:00:06
"1107",1018,681,1158,0.879101899827288,0.588082901554404,11.561496239073,4919,40.032661,-75.072273,00:00:03
"1108",692,261,570,1.2140350877193,0.457894736842105,8.44345616264295,2361,40.028263,-75.063827,00:00:03
"1109",504,891,658,0.765957446808511,1.35410334346505,6.82335680751174,1704,40.041255,-75.049049,00:00:05
"111",127,59512,4613,0.0275308909603295,12.9009321482766,2.84534398257397,5509,40.022968,-75.078292,00:01:19
"1111",213,1355,638,0.333855799373041,2.12382445141066,3.82250300842359,1662,40.056098,-75.028465,00:00:05
"1112",39,246,184,0.21195652173913,1.33695652173913,2.36420863309353,1112,40.056343,-75.01934,00:00:02
"1113",33,8,28,1.17857142857143,0.285714285714286,2.00612423447069,1143,40.054512,-75.010162,00:00:00
"1114",20,24,27,0.740740740740741,0.888888888888889,6.08780487804878,615,40.085384,-75.039375,00:00:02
"1115",11,37,33,0.333333333333333,1.12121212121212,2.39222042139384,617,40.104225,-75.051918,00:00:00
"1116",284,194,316,0.89873417721519,0.613924050632911,1.79448621553885,1197,40.118007,-75.067543,00:00:04
"1117",919,910,664,1.38403614457831,1.37048192771084,1.5687540348612,1549,40.109031,-75.080406,00:06:01
"1120",105,6,59,1.77966101694915,0.101694915254237,2.25387870239774,709,40.104671,-75.052139,00:00:02
"1121",42,33,28,1.5,1.17857142857143,7.19363057324841,785,40.085567,-75.039474,00:00:00
"11217",76,24,73,1.04109589041096,0.328767123287671,10.71875,256,40.044483,-75.144508,00:00:03
"1122",406,244,337,1.20474777448071,0.724035608308605,4.83079056865465,721,40.074596,-75.035186,00:00:09
"1123",331,21,238,1.39075630252101,0.0882352941176471,3.98577405857741,1195,40.056667,-75.018997,00:00:02
"1125",167,228,222,0.752252252252252,1.02702702702703,7.971870604782,711,40.056919,-75.028915,00:00:04
"1127",1142,299,702,1.62678062678063,0.425925925925926,7.25143154606975,1921,40.041305,-75.049247,00:00:04
"1128",751,722,842,0.891923990498812,0.857482185273159,8.32204065364687,2509,40.028308,-75.063995,00:00:04
"1129",898,581,946,0.949260042283298,0.614164904862579,12.6440820916503,3557,40.03289,-75.07228,00:00:04
"112no",0,2,2,0,1,0,2,39.916919,-75.171165,00:00:12
"113",3103,1736,1845,1.68184281842818,0.940921409214092,14.7097791798107,2853,40.030326,-75.118652,00:00:08
"1131",678,341,439,1.54441913439636,0.776765375854214,5.04308093994778,766,40.011211,-75.112457,00:00:11
"1133",607,321,602,1.00830564784053,0.533222591362126,2.4451313755796,1941,39.975551,-75.120834,00:00:04
"11334",201,212,245,0.820408163265306,0.86530612244898,8.11755485893417,638,40.089897,-75.126502,00:00:05
"1135",368,302,323,1.13931888544892,0.934984520123839,3.73076923076923,780,40.011928,-75.112129,00:00:06
"1137",2408,1127,1532,1.57180156657963,0.735639686684073,17.1883339687381,2623,40.029525,-75.056137,00:00:08
"1138",2260,734,1394,1.62123385939742,0.526542324246772,17.7905999235766,2617,40.028591,-75.057876,00:00:09
"114",1698,1570,1108,1.53249097472924,1.41696750902527,21.0244082840237,1352,40.034732,-75.130722,00:00:13
"1140",183,339,290,0.631034482758621,1.16896551724138,10.4302496328928,1362,39.912906,-75.243446,00:00:04
"1141",838,532,573,1.46247818499127,0.928446771378709,0.917853231106243,913,39.920574,-75.232994,00:05:39
"11422",893,784,660,1.3530303030303,1.18787878787879,6.25090075335735,3053,39.917732,-75.179473,00:00:04
"1144",2065,816,1248,1.65464743589744,0.653846153846154,12.0633367662204,1942,39.926773,-75.246162,00:00:08
"1145",1388,727,1140,1.21754385964912,0.637719298245614,18.6706152082537,2617,40.027633,-75.061859,00:00:05
"1146",2748,1314,2057,1.33592610597958,0.638794360719494,15.9092953523238,4002,39.954193,-75.258506,00:00:06
"11468",2527,2054,1883,1.34200743494424,1.09081253319172,4.50729483282675,3290,39.914592,-75.154838,00:00:13
"1148",77190,45531,13783,5.60037727635493,3.30341725313792,4.89815343613173,15759,39.962078,-75.258285,00:09:20
"1149",1017,1195,1083,0.939058171745152,1.10341643582641,18.2971054068815,1831,39.954151,-75.258674,00:00:08
"1150",690,1241,1057,0.65279091769158,1.17407757805109,15.8984716157205,1832,39.941192,-75.256233,00:00:08
"11506",100,2449,1146,0.087260034904014,2.1369982547993,3.34358481499279,2081,39.99485,-75.233856,00:00:08
"1151",946,1783,1192,0.793624161073825,1.49580536912752,12.823754789272,1827,39.926582,-75.246284,00:00:09
"11526",32,18,31,1.03225806451613,0.580645161290323,12.1678832116788,137,40.028404,-75.085273,00:00:03
"11528",4,13,9,0.444444444444444,1.44444444444444,11.1897810218978,137,40.024063,-75.084434,00:00:01
"1154",932,2024,1162,0.802065404475043,1.74182444061962,10.1592920353982,1695,39.922214,-75.230438,00:00:11
"11552",133,29,63,2.11111111111111,0.46031746031746,12.0434782608696,138,40.026206,-75.0848,00:00:07
"1156",775,567,739,1.04871447902571,0.767253044654939,10.7113884555382,1282,39.913352,-75.242691,00:00:09
"1158",2676,1169,1507,1.77571333775713,0.775713337757133,19.2772239263804,2608,40.027191,-75.064788,00:00:10
"1159",956,232,783,1.22094508301405,0.296296296296296,17.1138767890479,3214,40.026702,-75.067733,00:00:03
"1160",8939,6010,3516,2.54237770193402,1.70932878270762,3.98214285714286,4704,39.877262,-75.244293,00:03:45
"11623",90,1943,1113,0.0808625336927224,1.74573225516622,12.3930722891566,3984,40.03981,-75.143447,00:00:04
"11624",89,544,434,0.205069124423963,1.25345622119816,12.8587285570131,3964,40.041355,-75.143119,00:00:01
"1167",127,19,47,2.70212765957447,0.404255319148936,12.685393258427,89,39.957862,-75.177078,00:00:16
"1169",1279,2331,1892,0.67600422832981,1.23202959830867,10.7118534482759,4640,40.000286,-75.228622,00:00:05
"117",1250,912,834,1.49880095923261,1.09352517985612,16.4524236983842,1114,40.034725,-75.131042,00:00:11
"1175",1228,298,842,1.458432304038,0.353919239904988,10.2618962432916,2795,40.052452,-75.185752,00:00:05
"1176",844,4721,1445,0.584083044982699,3.26712802768166,19.3732193732194,2808,40.011085,-75.151603,00:00:20
"1178",1300,1441,1337,0.972326103216156,1.07778608825729,15.5205283827205,2801,40.003971,-75.149284,00:00:09
"1179",3329,6358,2291,1.45307725883893,2.77520733304234,13.1060550458716,2725,39.993198,-75.147949,00:00:19
"118",2023,2362,1632,1.23958333333333,1.44730392156863,11.1300154320988,2592,40.030197,-75.118629,00:00:09
"1180",2219,4777,2091,1.06121472979436,2.28455284552846,11.3029197080292,2740,39.971126,-75.155792,00:00:14
"1181",1038,1961,928,1.11853448275862,2.11314655172414,11.0461861441568,1429,39.937511,-75.163093,00:00:10
"1182",357,1323,962,0.371101871101871,1.37525987525988,6.1919770773639,3141,39.916072,-75.166351,00:00:04
"1183",1141,613,799,1.42803504380476,0.76720901126408,12.2026936026936,1485,39.937034,-75.161437,00:00:08
"1185",3483,2009,1743,1.99827882960413,1.15261044176707,18.5428692699491,2356,39.970611,-75.154121,00:00:18
"1186",4981,3128,1883,2.64524694636219,1.66117896972916,19.2795242141037,2354,39.992954,-75.14785,00:00:23
"1188",14787,6661,2419,6.11285655229434,2.75361719718892,22.6092585327579,2549,40.009021,-75.150657,00:00:43
